PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;P4000;P4010;P4020;P4030S1;P4030S1A1;P4030S2;P4030S3;P4030S4;P4030S4A1;P4030S5;P70;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5222S1;P5222S2;P5222S3;P5222S4;P5222S5;P5222S6;P5222S7;P5222S8;P5222S9;P5222S10;P5222S8A1;P6008
20240101;01;2024;7655992;1;1;01;05;1;1543.8751292;05;2;1;4;1;3;1;1;1;2;1;1;2;1;1;1;1;1;1;3;3;;;;;950000;;1;;;;;;;;;;2
20240101;01;2024;7655993;1;1;01;05;1;1381.6684719;05;2;1;4;1;3;2;1;1;2;1;1;1;1;1;1;1;1;1;4;3;;;;;735000;;1;;;;1;;;;;;1
20240101;01;2024;7655994;1;1;01;05;1;1402.9418216;05;2;1;4;1;2;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;410000;;;;;;;;;1;;;2
20240101;01;2024;7655995;1;1;01;05;1;1484.395054;05;2;1;4;1;2;2;1;1;2;1;1;4;2;1;1;1;1;1;4;1;;;98;800000;;;;;;;;;;1;;;2
20240101;01;2024;7655996;1;1;01;05;1;1653.3606473;05;2;1;4;1;2;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;3
20240101;01;2024;7655997;1;1;01;05;1;2337.6188299;05;2;1;4;1;3;2;1;1;2;1;1;2;1;1;1;1;1;1;4;3;;;;;820000;;1;;;;;;;;;;2
20240101;01;2024;7655998;1;1;01;05;1;1618.7441598;05;1;1;4;1;3;1;1;1;3;1;1;5;2;1;1;1;1;1;3;4;;;;1800000;;;1;;;;;;;;;;2
20240101;01;2024;7655999;1;1;01;05;1;649.17032362;05;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;1700000;;1;;;;;;;;;;4
20240101;01;2024;7656000;1;1;01;05;1;649.17032362;05;2;1;4;1;3;1;1;1;2;1;1;4;3;1;1;1;1;1;3;3;;;;;800000;;1;1;;;;;;;;;4
20240101;01;2024;7656001;1;1;01;05;1;799.30755726;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1180000;;1;;;;;;;;;;5
20240101;01;2024;7656002;1;1;01;05;1;810.1686047;05;2;1;4;1;3;1;1;1;2;1;1;3;2;1;1;1;1;1;3;1;;;120000000;600000;;;1;;;;;;;;;;2
20240101;01;2024;7656004;1;1;01;05;1;641.34483274;05;2;1;4;1;3;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;577000;;1;;;;;;;;;;2
20240101;01;2024;7656005;1;1;01;05;1;739.46451406;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;4;;;;1000000;;;1;;;;;;;;;;3
20240101;01;2024;7656006;1;1;01;05;1;805.00849831;05;2;1;4;1;1;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;3
20240101;01;2024;7656007;1;1;01;05;1;657.70232887;05;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;4;;;;400000;;;1;;;;;;;;;;2
20240101;01;2024;7656008;1;1;01;05;1;641.34483274;05;2;1;4;1;3;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;98;400000;;;1;;;;;;;;;;2
20240101;01;2024;7656009;1;1;01;05;1;1618.7441598;05;2;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;3;4;;;;1400000;;;;;;;;;;1;;;1
20240101;01;2024;7656010;1;1;01;05;1;2174.6010757;05;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;98;1800000;;;;;;;;;;1;;;4
20240101;01;2024;7656012;1;1;01;05;1;1883.7006155;05;2;1;4;1;3;2;1;1;3;1;1;2;1;1;1;1;1;1;4;3;;;;;600000;;1;;;;;;;;;;1
20240101;01;2024;7656014;1;1;01;05;1;1094.4813016;05;2;1;4;1;3;2;1;1;2;1;1;4;1;1;1;1;1;1;4;6;;;;650000;;;1;;;;;;;;;;1
20240101;01;2024;7656015;1;1;01;05;1;3826.3529013;05;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;750000;;1;;;;;;;;;;2
20240101;01;2024;7656016;1;1;01;05;1;3826.3529013;05;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;200000000;800000;;;1;;;;;;;;;;2
20240101;01;2024;7656017;1;1;01;05;1;962.0172491;05;2;1;4;1;4;1;1;1;2;1;1;3;1;1;1;1;1;1;3;1;;;98;98;;;1;;;;;;;;;;2
20240101;01;2024;7656018;1;1;01;05;1;1006.0408925;05;2;1;4;1;4;1;1;1;2;1;1;2;1;1;1;1;1;1;3;1;;;98;600000;;;1;;;;;1;;;;;1
20240101;01;2024;7656019;1;1;01;05;1;1017.8708942;05;2;1;4;1;4;1;1;1;2;1;1;4;2;1;1;1;1;1;3;1;;;160000000;1000000;;;1;;;;;1;;;;;2
20240101;01;2024;7656020;1;1;01;05;1;1071.4618113;05;2;1;4;1;3;1;1;1;2;1;1;3;2;1;1;1;1;1;3;3;;;;;1100000;;1;;;;;;;;;;2
20240101;01;2024;7656021;1;1;01;08;1;579.74042985;08;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;3;3;3;;;;;1500000;;1;;;;;1;;;;;3
20240101;01;2024;7656022;1;1;01;08;1;824.23613376;08;2;1;4;1;4;1;1;1;3;1;1;2;1;1;1;1;1;3;3;3;;;;;700000;;1;;;;;;;;;;2
20240101;01;2024;7656023;1;1;01;08;1;753.24825573;08;1;1;4;1;5;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;400000000;2000000;;;1;;;;;1;;;;;3
20240101;01;2024;7656024;1;1;01;08;1;678.17446278;08;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;3;3;4;;;;700000;;;1;;;;;;;;;;4
20240101;01;2024;7656025;1;1;01;08;1;769.54953531;08;1;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;900000;;1;;;;;1;;;;;4
20240101;01;2024;7656026;1;1;01;08;1;3383.9188884;08;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;3;;;;;550000;;1;;;;;;;;;;2
20240101;01;2024;7656027;1;1;01;11;1;2743.8488341;11;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;99;99;;;1;;;;;;;;;;2
20240101;01;2024;7656028;1;1;01;11;1;3743.4745197;11;1;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;250000000;1400000;;;1;1;;;;1;;;;;3
20240101;01;2024;7656029;1;1;01;11;1;1695.9386161;11;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;3
20240101;01;2024;7656030;1;1;01;11;1;2857.2909995;11;1;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;1;;;;;;;;;;2
20240101;01;2024;7656031;1;1;01;11;1;2711.7911817;11;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;1
20240101;01;2024;7656032;1;1;01;11;1;1842.8718925;11;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;4;;;;500000;;;;;;;;;;1;;;2
20240101;01;2024;7656033;1;1;01;11;1;3883.9641874;11;1;1;4;1;2;1;1;1;3;1;1;6;3;1;1;1;1;1;3;1;;;300000000;1200000;;;1;;;;;;;;;;3
20240101;01;2024;7656034;1;1;01;11;1;3917.0317069;11;2;1;4;1;3;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;1;;;1
20240101;01;2024;7656035;1;1;01;11;1;2743.8488341;11;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;800000;;1;;;;;;;;;;2
20240101;01;2024;7656036;1;1;01;11;1;2681.1266108;11;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;99;1200000;;;1;;;;;;;;;;3
20240101;01;2024;7656037;1;1;01;11;1;3767.8102038;11;1;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;700000000;2500000;;;1;;;;;;;;;;3
20240101;01;2024;7656038;1;1;01;11;1;5386.4982213;11;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;1000000;;1;;;;;;;;;;2
20240101;01;2024;7656039;1;1;01;11;1;5242.6334012;11;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;4;;;;700000;;;1;;;;;;;;;;3
20240101;01;2024;7656040;1;1;01;11;1;4036.2785952;11;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;250000000;800000;;;1;;;;;;;;;;2
20240101;01;2024;7656041;1;1;01;11;1;5007.7238358;11;2;1;4;1;2;2;1;1;3;1;1;1;1;1;1;1;1;6;;3;;;;;1500000;;1;;;;1;;;;;;1
20240101;01;2024;7656044;1;1;01;11;1;2889.0714438;11;4;1;4;1;2;1;1;1;3;1;1;1;1;1;2;1;1;6;;3;;;;;320000;;;;;;;;;1;;;1
20240101;01;2024;7656046;1;1;01;11;1;4865.1572353;11;2;1;4;1;4;1;1;1;2;1;1;4;1;1;1;1;1;1;3;1;;;380000000;1200000;;1;;;;;;;;;;;2
20240101;01;2024;7656047;1;1;01;11;1;6036.095695;11;2;1;4;1;4;2;1;1;3;1;1;3;1;1;1;1;1;1;4;3;;;;;1700000;;1;;;;1;1;;;;;1
20240101;01;2024;7656048;1;1;01;11;1;2893.85305;11;2;1;4;1;3;1;1;1;3;1;1;1;1;1;1;1;1;1;3;3;;;;;500000;;;;;;;;;1;;;1
20240101;01;2024;7656049;1;1;01;11;1;4464.4788738;11;2;1;4;1;4;1;1;1;3;1;1;4;1;1;1;1;1;1;3;4;;;;2000000;;;1;;;;;;;;;;1
20240101;01;2024;7656051;1;1;01;13;1;498.66484584;13;2;1;2;1;1;2;1;1;3;1;1;3;2;1;1;1;1;3;4;3;;;;;200000;;;;;;;;;1;;;2
20240101;01;2024;7656052;1;1;01;13;1;610.87322558;13;2;1;4;1;1;1;1;1;3;1;3;2;1;1;2;1;1;1;3;6;;;;300000;;;1;;;;;;;;;;2
20240101;01;2024;7656052;2;2;01;13;1;610.87322558;13;2;1;4;1;1;1;1;1;3;1;3;3;2;1;2;1;1;1;3;6;;;;400000;;;1;;;;;;;;;;5
20240101;01;2024;7656052;3;3;01;13;1;610.87322558;13;2;1;4;1;1;1;1;1;3;1;3;2;1;1;2;1;1;1;3;6;;;;300000;;;1;;;;;;;;;;4
20240101;01;2024;7656053;1;1;01;13;1;509.20441253;13;2;1;4;1;1;1;1;1;3;1;1;2;2;1;1;1;1;3;3;4;;;;400000;;;1;;;;;;;;;;3
20240101;01;2024;7656054;1;1;01;13;1;498.85049446;13;2;1;2;1;1;1;1;1;3;1;2;6;4;1;2;1;1;1;3;1;;;250000000;600000;;;1;;;;;;;;;;3
20240101;01;2024;7656054;2;2;01;13;1;498.85049446;13;2;1;2;1;1;1;1;1;3;1;2;2;1;1;2;1;1;1;3;4;;;;500000;;;1;;;;;;;;;;3
20240101;01;2024;7656055;1;1;01;13;1;523.14890061;13;2;1;4;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;550000;;;;;;;;;1;;;6
20240101;01;2024;7656056;1;1;01;13;1;322.70978097;13;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;3;3;7;FAMILIAR;;;700000;;;;;;;;;;1;;;2
20240101;01;2024;7656057;1;1;01;13;1;523.70531188;13;2;1;2;1;1;2;1;1;3;1;1;3;2;1;1;1;1;1;1;1;;;98;250000;;;1;;;;;;;;;;3
20240101;01;2024;7656058;1;1;01;13;1;394.02039858;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;7;FAMILIAR;;;700000;;;1;;;;;;;;;;2
20240101;01;2024;7656059;1;1;01;13;1;326.52618527;13;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;2;3;3;;;;;500000;;;;;;;;;1;;;3
20240101;01;2024;7656060;1;1;01;13;1;684.33427889;13;2;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;3
20240101;01;2024;7656061;1;1;01;13;1;684.33427889;13;2;1;2;1;1;1;1;1;3;1;1;4;2;1;1;1;1;1;3;4;;;;550000;;;1;;;;;;;;;;3
20240101;01;2024;7656064;1;1;01;13;1;488.12009487;13;2;1;2;1;1;1;1;1;3;1;1;4;2;1;1;1;1;1;3;4;;;;400000;;;1;;;;;;;;;;4
20240101;01;2024;7656065;1;1;01;13;1;600.51064892;13;2;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;3
20240101;01;2024;7656066;1;1;01;13;1;541.99716124;13;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;1;1;1;3;6;;;;500000;;;1;;;;;;;;;;4
20240101;01;2024;7656067;1;1;01;13;1;868.59576005;13;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;99;1300000;;;1;;;;;1;;;;;3
20240101;01;2024;7656068;1;1;01;13;1;659.74661606;13;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;1350000;;1;;;;;;;;;;4
20240101;01;2024;7656069;1;1;01;13;1;373.75201079;13;2;1;4;1;2;1;1;1;3;1;1;4;1;1;1;1;1;1;3;6;;;;600000;;;1;;;;;1;;;;;3
20240101;01;2024;7656070;1;1;01;13;1;381.82865903;13;2;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;350000;;1;;;;;;;;;;4
20240101;01;2024;7656072;1;1;01;13;1;627.45298841;13;2;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;3;3;4;;;;150000;;;1;;;;;;;;;;3
20240101;01;2024;7656073;1;1;01;13;1;327.39378648;13;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;1;;;3
20240101;01;2024;7656074;1;1;01;13;1;997.32969168;13;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;2;;2500000;98;1200000;;;1;;1;;;;;;;;2
20240101;01;2024;7656075;1;1;01;13;1;287.18183998;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;4
20240101;01;2024;7656076;1;1;01;13;1;571.14020384;13;2;1;2;1;1;1;1;1;3;1;1;5;1;1;1;1;1;4;3;3;;;;;150000;;;;;;;;;1;;;1
20240101;01;2024;7656077;1;1;01;13;1;726.509842;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;3;;;;;500000;;1;;;;;;;;;;3
20240101;01;2024;7656078;1;1;01;13;1;362.44187592;13;1;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;3;3;3;;;;;260000;;;;;;;;;1;;;6
20240101;01;2024;7656079;1;1;01;13;1;367.05955208;13;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;1;1;3;3;3;;;;;300000;;;;;;;;;1;;;5
20240101;01;2024;7656080;1;1;01;13;1;521.88486859;13;1;1;2;1;1;1;1;1;3;1;2;2;1;1;2;1;1;3;3;7;FAMILIAR;;;200000;;;;;;;;;;1;;;3
20240101;01;2024;7656080;2;2;01;13;1;521.88486859;13;1;1;2;1;1;1;1;1;3;1;2;2;1;1;2;1;1;3;3;7;FAMILIAR;;;150000;;;;;;;;;;1;;;3
20240101;01;2024;7656081;1;1;01;13;1;369.93091421;13;1;1;2;1;1;1;1;1;3;1;1;3;2;1;1;1;1;3;3;7;FAMILIAR;;;400000;;;;;;;;;;1;;;4
20240101;01;2024;7656082;1;1;01;13;1;491.17580755;13;2;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;3;3;7;FAMILIAR;;;300000;;;;;;;;;;1;;;4
20240101;01;2024;7656083;1;1;01;13;1;430.55336088;13;2;1;2;1;1;1;1;1;3;1;1;2;2;1;1;1;1;2;3;3;;;;;350000;;1;;;;;;;;;;4
20240101;01;2024;7656084;1;1;01;13;1;599.31816467;13;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;98;800000;;;1;;;;;;;;;;2
20240101;01;2024;7656085;1;1;01;13;1;379.62432007;13;1;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;100000000;600000;;;1;;;;;;;;;;3
20240101;01;2024;7656086;1;1;01;13;1;510.81567191;13;2;1;2;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;7;FAMILIAR;;;400000;;;1;;;;;;;;;;3
20240101;01;2024;7656087;1;1;01;13;1;997.32969168;13;2;1;4;1;3;1;1;1;3;1;1;4;2;1;1;1;1;3;3;2;;2500000;98;2300000;;;1;;;;;1;;;;;2
20240101;01;2024;7656088;1;1;01;13;1;428.78612709;13;2;1;2;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;4;;;;500000;;;1;;;;;;;;;;4
20240101;01;2024;7656089;1;1;01;13;1;601.16344585;13;2;1;4;1;1;1;1;1;3;1;1;2;1;1;1;1;1;3;3;1;;;80000000;350000;;;;;;;;;;1;;;4
20240101;01;2024;7656090;1;1;01;13;1;898.10772603;13;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;3;3;2;;2800000;98;1200000;;;1;;;;;1;;;;;3
20240101;01;2024;7656091;1;1;01;13;1;630.61266322;13;1;1;4;1;1;1;1;1;3;1;2;2;1;1;2;1;1;3;3;1;;;80000000;500000;;;1;;;;;;;;;;2
20240101;01;2024;7656091;2;2;01;13;1;630.61266322;13;1;1;4;1;1;1;1;1;3;1;2;2;1;1;2;1;1;3;3;4;;;;600000;;;1;;;;;;;;;;2
20240101;01;2024;7656092;1;1;01;13;1;562.44255103;13;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;3;3;3;;;;;750000;;1;;;;;;;;;;4
20240101;01;2024;7656093;1;1;01;13;1;417.54955;13;1;1;4;1;1;1;1;1;3;1;1;3;2;1;1;1;1;3;3;1;;;60000000;500000;;;1;;;;;;;;;;5
20240101;01;2024;7656094;1;1;01;13;1;625.0443408;13;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;3;3;3;;;;;700000;;1;;;;;;;;;;4
20240101;01;2024;7656095;1;1;01;13;1;188.56646124;13;1;1;4;1;1;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;120000000;600000;;;1;;;;;;;;;;6
20240101;01;2024;7656096;1;1;01;13;1;571.14020384;13;2;1;4;1;1;1;1;1;3;1;1;3;1;1;1;1;1;2;1;5;;;;1000000;;1;;;;;;;;;;;1
20240101;01;2024;7656097;1;1;01;13;1;609.23945185;13;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;1;1;3;3;4;;;;350000;;;;;;;;;;1;;;3
20240101;01;2024;7656098;1;1;01;13;1;317.72331699;13;1;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;3;3;3;;;;;850000;;1;;;;;;;;;;5
20240101;01;2024;7656099;1;1;01;13;1;473.7753827;13;1;1;4;1;4;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;98;4000000;;;1;;;;;;;;;;2
20240101;01;2024;7656100;1;1;01;13;1;426.00701346;13;2;1;2;1;1;1;1;1;3;1;1;2;1;1;1;1;1;3;3;4;;;;350000;;;;;;;1;;;;;;4
20240101;01;2024;7656101;1;1;01;13;1;461.98743215;13;2;1;4;1;4;1;1;1;3;1;1;4;3;1;1;1;1;3;3;1;;;380000000;1300000;;;1;;;;;;;;;;4
20240101;01;2024;7656102;1;1;01;13;1;581.77565348;13;2;1;4;1;4;1;1;1;3;1;1;4;1;1;1;1;1;3;3;3;;;;;900000;;1;;;;;;;;;;2
20240101;01;2024;7656103;1;1;01;13;1;425.67972659;13;2;1;4;1;4;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;300000000;950000;;1;1;;;;;1;;;;;3
20240101;01;2024;7656104;1;1;01;13;1;558.32996703;13;1;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;140000000;700000;;;1;;;;;;;;;;1
20240101;01;2024;7656106;1;1;01;13;1;666.33023781;13;2;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;900000;;1;;;;1;1;;;;;1
20240101;01;2024;7656107;1;1;01;13;1;287.27478285;13;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;3;;;;;500000;;1;;;;;;;;;;5
20240101;01;2024;7656108;1;1;01;13;1;518.25685163;13;2;1;4;1;2;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;350000;;;;;;;;;1;;;1
20240101;01;2024;7656109;1;1;01;13;1;451.44784014;13;2;1;4;1;2;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;1;;;2
20240101;01;2024;7656110;1;1;01;13;1;449.09437052;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;6;;;;380000;;;1;;;;;;;;;;3
20240101;01;2024;7656111;1;1;01;13;1;289.92096036;13;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;2;;650000;99;700000;;;1;;;;;;;;;;5
20240101;01;2024;7656112;1;1;01;13;1;390.68730895;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;750000;;1;;;;;;;;;;4
20240101;01;2024;7656113;1;1;01;13;1;388.44695858;13;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;3;3;3;;;;;600000;;1;;;;;;;;;;2
20240101;01;2024;7656114;1;1;01;15;1;126.54900359;15;1;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;4;1;3;1;;;180000000;600000;;;1;;;;;;;;;;1
20240101;01;2024;7656115;1;1;01;15;1;118.56474955;15;1;1;4;1;5;1;1;1;3;1;1;4;2;1;1;1;1;1;3;1;;;350000000;1500000;;;1;;;;;1;;;;;2
20240101;01;2024;7656116;1;1;01;15;1;124.7685429;15;1;1;4;1;5;1;1;1;3;1;1;4;2;1;1;1;1;1;3;2;;1200000;40000000;2000000;;;1;;1;;;1;;;;;3
20240101;01;2024;7656117;1;1;01;15;1;86.360054959;15;1;1;4;1;5;1;1;1;3;1;1;4;1;1;1;1;1;1;3;2;;1500000;98;98;;;1;;;;;;;;;;2
20240101;01;2024;7656118;1;1;01;15;1;149.76864806;15;2;1;4;1;4;1;1;1;3;1;1;5;1;1;1;1;1;1;3;1;;;98;500000;;;;;;;;;;1;;;2
20240101;01;2024;7656119;1;1;01;15;1;129.54008244;15;2;1;4;1;4;1;1;1;3;1;1;3;1;1;1;1;1;1;3;3;;;;;1300000;;1;;;;;1;;;;;2
20240101;01;2024;7656120;1;1;01;15;1;111.73677174;15;2;1;4;1;2;1;1;1;3;1;1;3;2;1;1;1;1;1;3;3;;;;;600000;;;;;;;;;1;;;2
20240101;01;2024;7656121;1;1;01;15;1;156.6361618;15;2;1;4;1;2;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;200000000;1000000;;;1;;;;;;;;;;4
20240101;01;2024;7656122;1;1;01;15;1;154.71487854;15;2;1;4;1;4;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;300000;;1;;;;;;;;;;1
20240101;01;2024;7656123;1;1;01;15;1;117.20824132;15;2;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;2000000;600000;;;1;;;;;;;;;;1
20240101;01;2024;7656124;1;1;01;15;1;137.93555536;15;1;1;4;1;3;1;1;1;3;1;1;2;1;1;1;1;1;1;3;3;;;;;98;;1;;;;;;;;;;1
20240101;01;2024;7656125;1;1;01;15;1;107.85426442;15;1;1;4;1;3;1;1;1;3;1;1;3;1;1;1;1;1;1;3;1;;;200000000;1300000;;;1;1;;;;1;;;;;1
20240101;01;2024;7656126;1;1;01;15;1;86.228908765;15;2;1;4;1;3;1;1;1;3;1;1;3;2;1;1;1;1;1;3;1;;;100000000;800000;;;1;;;;;;;;;;2
20240101;01;2024;7656127;1;1;01;15;1;77.724049463;15;2;1;4;1;3;1;1;1;3;1;1;4;1;1;1;1;1;1;3;1;;;150000000;1000000;;;1;;;;;1;;;;;2
20240101;01;2024;7656128;1;1;01;15;1;75.013274443;15;2;1;4;1;3;1;1;1;3;1;1;2;1;1;1;1;1;3;3;4;;;;150000;;;;;;;;;;1;;;1
20240101;01;2024;7656129;1;1;01;15;1;107.76106162;15;2;1;4;1;3;1;1;1;3;1;1;4;3;1;1;1;1;1;3;1;;;120000000;1000000;;;1;;;;;;;;;;4
