PERIODO;MES;PER;DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;FEX_C18;DPTO;FFT;DSCY;DSI;P7250;P7280;P744;P3074;P7260;P1806;P7430;P7440S1;P7440S2;P7450;P7350;P7360;P9460;P1519;P1883;P7422;P7422S1;OFICIO1_C8;OFICIO2_C8;RAMA2D_D_R4;RAMA4D_D_R4;P7440
20240101;01;2024;7656008;1;2;1;70;05;1;641.34483274;05;1;;;;;;;;;1;540;0;3;1;4;2;2;;2;;.;5131;56;5613;
20240101;01;2024;7656009;1;1;1;70;05;1;1618.7441598;05;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656010;1;1;1;70;05;1;2174.6010757;05;1;;;;;;;;;1;168;0;3;1;10;2;2;;2;;.;8153;14;1410;
20240101;01;2024;7656010;1;2;1;70;05;1;2174.6010757;05;1;;;;;;;;;1;400;0;5;1;10;2;3;;2;;.;8151;13;1312;
20240101;01;2024;7656010;1;3;1;70;05;1;2174.6010757;05;1;;;;;;;;;1;480;0;5;1;10;2;3;;2;;.;8151;13;1312;
20240101;01;2024;7656010;1;4;1;70;05;1;2174.6010757;05;1;;;;;;;;;1;180;0;7;1;3;2;2;;2;;.;1420;46;4664;
20240101;01;2024;7656012;1;1;1;70;05;1;1883.7006155;05;1;;;;;;;;;1;84;0;4;1;6;2;2;;2;;.;8332;49;4923;
20240101;01;2024;7656014;1;1;1;70;05;1;1094.4813016;05;1;;;;;;;;;1;3;1;8;4;1;2;2;;2;;.;5120;56;5619;
20240101;01;2024;7656017;1;1;1;70;05;1;962.0172491;05;1;;;;;;;;;1;310;0;5;2;10;2;3;;2;;.;5412;84;8423;
20240101;01;2024;7656017;1;2;1;70;05;1;962.0172491;05;1;;;;;;;;;1;120;0;3;4;1;2;2;;2;;.;5223;47;4771;
20240101;01;2024;7656018;1;1;1;70;05;1;1006.0408925;05;;2;1;52;1;;;48;1160000;1;1;2;8;4;1;2;1;2;2;;2330;3423;93;9319;
20240101;01;2024;7656019;1;1;1;70;05;1;1017.8708942;05;1;;;;;;;;;1;12;0;1;7;2;2;2;;2;;.;6111;01;0113;
20240101;01;2024;7656020;1;1;1;70;05;1;1071.4618113;05;1;;;;;;;;;1;120;3;5;1;4;2;3;;2;;.;8153;14;1410;
20240101;01;2024;7656021;1;2;1;70;08;1;579.74042985;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656022;1;2;1;70;08;1;824.23613376;08;;1;1;4;4;;;40;2000000;1;1;3;8;1;10;2;2;;2;;5223;5223;47;4771;
20240101;01;2024;7656023;1;1;1;70;08;1;753.24825573;08;1;;;;;;;;;1;252;0;5;2;10;2;3;;2;;.;2310;85;8544;
20240101;01;2024;7656023;1;2;1;70;08;1;753.24825573;08;1;;;;;;;;;1;216;0;5;2;10;2;3;;2;;.;2310;85;8544;
20240101;01;2024;7656024;1;1;1;70;08;1;678.17446278;08;;1;1;4;1;;;48;1400000;1;1;0;8;1;8;2;2;;1;1350000;2635;3253;87;8730;
20240101;01;2024;7656024;1;4;1;70;08;1;678.17446278;08;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656027;1;2;1;70;11;1;2743.8488341;11;1;;;;;2;4;;1160000;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656028;1;2;1;70;11;1;3743.4745197;11;1;;;;;;;;;1;2;0;4;4;8;2;2;;2;;.;2152;95;9511;
20240101;01;2024;7656028;1;3;1;70;11;1;3743.4745197;11;1;;;;;;5;;2800000;1;6;0;7;4;7;2;2;;2;;.;2512;62;6201;
20240101;01;2024;7656029;1;3;1;70;11;1;1695.9386161;11;1;;;;;;;;;1;280;0;4;4;1;2;2;;2;;.;9121;96;9601;
20240101;01;2024;7656032;1;1;1;70;11;1;1842.8718925;11;1;;;;;;;;;1;24;0;5;1;8;2;3;;2;;.;9112;22;2219;
20240101;01;2024;7656032;1;2;1;70;11;1;1842.8718925;11;1;;;;;;;;;1;340;0;4;4;1;2;2;;2;;.;9111;81;8121;
20240101;01;2024;7656033;1;1;1;70;11;1;3883.9641874;11;1;;;;;;;;;1;336;0;5;1;10;2;3;;2;;.;3115;46;4690;
20240101;01;2024;7656033;1;2;1;70;11;1;3883.9641874;11;1;;;;;;;;;1;240;0;5;1;6;2;3;;2;;.;5230;69;6910;
20240101;01;2024;7656033;1;3;1;70;11;1;3883.9641874;11;1;;;;;2;5;;1500000;1;60;0;3;3;2;2;2;;2;;.;5321;97;9700;
20240101;01;2024;7656037;1;1;1;70;11;1;3767.8102038;11;1;;;;;;;;;1;360;0;5;2;10;2;3;;2;;.;5414;84;8414;
20240101;01;2024;7656037;1;2;1;70;11;1;3767.8102038;11;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656037;1;3;1;70;11;1;3767.8102038;11;1;;;;;;;;;1;0;2;7;4;1;2;1;1;1;2000000;.;8324;49;4921;
20240101;01;2024;7656039;1;2;1;70;11;1;5242.6334012;11;1;;;;;;;;;1;14;0;3;1;5;2;2;;2;;.;8153;14;1410;
20240101;01;2024;7656040;1;1;1;70;11;1;4036.2785952;11;1;;;;;;;;;1;72;1;5;1;10;2;3;;2;;.;5131;93;9312;
20240101;01;2024;7656040;1;2;1;70;11;1;4036.2785952;11;1;;;;;;;;;1;216;0;1;1;10;2;2;;2;;.;9412;93;9312;
20240101;01;2024;7656046;1;1;1;70;11;1;4865.1572353;11;1;;;;;;;;;1;240;0;5;1;10;2;3;;2;;.;1345;85;8544;
20240101;01;2024;7656046;1;2;1;70;11;1;4865.1572353;11;1;;;;;;;;;1;60;0;5;2;10;2;3;;2;;.;2341;85;8530;
20240101;01;2024;7656049;1;1;1;70;11;1;4464.4788738;11;1;;;;;;;;;1;1;0;1;1;10;2;2;;2;;.;5132;56;5613;
20240101;01;2024;7656051;1;1;1;70;13;1;498.66484584;13;1;;;;;;;;;1;36;0;4;3;1;2;2;;2;;.;9111;97;9700;
20240101;01;2024;7656052;2;3;2;70;13;1;610.87322558;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656054;1;1;1;70;13;1;498.85049446;13;1;;;;;;;;;1;96;0;5;1;5;2;3;;2;;.;4120;69;6910;
20240101;01;2024;7656054;1;2;1;70;13;1;498.85049446;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656054;1;3;1;70;13;1;498.85049446;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656055;1;3;1;70;13;1;523.14890061;13;1;;;;;1;;48;700000;1;0;3;6;4;4;2;2;;2;;.;5131;56;5611;
20240101;01;2024;7656056;1;2;1;70;13;1;322.70978097;13;1;;;;;;;;;1;240;5;3;4;1;2;2;;2;;.;9520;47;4782;
20240101;01;2024;7656057;1;3;1;70;13;1;523.70531188;13;1;;;;;;;;;1;72;0;9;4;1;2;2;;2;;.;9333;52;5224;
20240101;01;2024;7656058;1;2;1;70;13;1;394.02039858;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656059;1;1;1;70;13;1;326.52618527;13;;1;1;5;1;;;40;1500000;1;12;5;8;1;7;2;2;;2;;9311;9333;46;4665;
20240101;01;2024;7656059;1;2;1;70;13;1;326.52618527;13;;1;1;5;1;;;40;1500000;1;1;5;8;1;7;2;2;;2;;9112;5223;47;4771;
20240101;01;2024;7656064;1;1;1;70;13;1;488.12009487;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656064;1;2;1;70;13;1;488.12009487;13;;2;1;24;1;;;48;1000000;2;;;;;;;2;;2;;5223;;;;
20240101;01;2024;7656065;1;2;1;70;13;1;600.51064892;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656066;1;1;1;70;13;1;541.99716124;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656068;1;3;1;70;13;1;659.74661606;13;1;;;;;;;;;1;180;2;5;1;6;2;3;;2;;.;3343;47;4754;
20240101;01;2024;7656069;1;2;1;70;13;1;373.75201079;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656070;1;2;1;70;13;1;381.82865903;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656070;1;3;1;70;13;1;381.82865903;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656075;1;2;1;70;13;1;287.18183998;13;;1;1;4;1;;;48;1300000;1;6;1;6;1;5;2;2;;2;;2342;2342;85;8530;
20240101;01;2024;7656075;1;3;1;70;13;1;287.18183998;13;;2;1;22;1;;;48;1300000;1;0;3;8;4;7;2;2;;1;250000;4321;5131;56;5611;
20240101;01;2024;7656076;1;1;1;70;13;1;571.14020384;13;;1;1;4;4;;;48;800000;1;1;0;8;4;2;2;2;;2;;9313;9313;42;4210;
20240101;01;2024;7656077;1;2;1;70;13;1;726.509842;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656079;1;2;1;70;13;1;367.05955208;13;;2;1;24;1;;;48;1000000;1;12;0;3;1;3;2;2;;2;;9112;9112;47;4771;
20240101;01;2024;7656080;1;1;1;70;13;1;521.88486859;13;1;;;;;;;;;1;24;0;4;1;7;2;2;;2;;.;9412;56;5611;
20240101;01;2024;7656080;2;2;2;70;13;1;521.88486859;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656081;1;2;1;70;13;1;369.93091421;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656082;1;1;1;70;13;1;491.17580755;13;1;;;;;;;;;1;18;0;3;1;8;2;2;;2;;.;5230;47;4719;
20240101;01;2024;7656083;1;2;1;70;13;1;430.55336088;13;;2;1;32;1;;;42;1400000;1;6;0;8;1;2;2;2;;2;;3213;3213;47;4773;
20240101;01;2024;7656084;1;2;1;70;13;1;599.31816467;13;1;;;;;;;;;1;120;5;4;4;1;2;2;;2;;.;6111;01;0113;
20240101;01;2024;7656085;1;1;1;70;13;1;379.62432007;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656085;1;3;1;70;13;1;379.62432007;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656087;1;2;1;70;13;1;997.32969168;13;;1;1;12;1;;;48;2800000;1;5;1;8;1;7;2;2;;2;;2611;2611;69;6910;
20240101;01;2024;7656088;1;1;1;70;13;1;428.78612709;13;;1;1;4;1;;;40;1300000;1;4;2;6;4;1;2;2;;2;;2341;8323;49;4921;
20240101;01;2024;7656088;1;4;1;70;13;1;428.78612709;13;1;;;;;1;;40;1300000;1;36;5;7;1;4;2;2;;2;;.;5329;47;4773;
20240101;01;2024;7656090;1;3;1;70;13;1;898.10772603;13;;2;1;48;1;;;48;2500000;2;;;;;;;2;;2;;3342;;;;
20240101;01;2024;7656092;1;3;1;70;13;1;562.44255103;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656092;1;4;1;70;13;1;562.44255103;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656093;1;1;1;70;13;1;417.54955;13;1;;;;;;;;;1;36;4;6;3;2;2;2;;2;;.;9111;97;9700;
20240101;01;2024;7656093;1;3;1;70;13;1;417.54955;13;1;;;;;;;;;1;12;4;9;1;10;2;1;1;1;1500000;.;2261;86;8622;
20240101;01;2024;7656094;1;2;1;70;13;1;625.0443408;13;;2;1;48;1;;;48;1200000;1;24;0;3;1;6;2;2;;2;;4110;4110;84;8415;
20240101;01;2024;7656094;1;3;1;70;13;1;625.0443408;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656095;1;1;1;70;13;1;188.56646124;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656095;1;2;1;70;13;1;188.56646124;13;1;;;;;;;;;1;36;0;4;4;2;2;2;;2;;.;6111;01;0113;
20240101;01;2024;7656095;1;4;1;70;13;1;188.56646124;13;;2;1;18;1;;;42;1300000;1;10;0;8;1;3;2;2;;2;;8153;8153;13;1399;
20240101;01;2024;7656096;1;1;1;70;13;1;571.14020384;13;;1;1;3;1;;;48;2100000;1;0;3;8;1;8;2;1;1;1;2100000;8332;8332;46;4669;
20240101;01;2024;7656097;1;2;1;70;13;1;609.23945185;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656098;1;2;1;70;13;1;317.72331699;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656098;1;5;1;70;13;1;317.72331699;13;1;;;;;;;;;1;120;1;4;4;1;2;2;;2;;.;5141;96;9602;
20240101;01;2024;7656099;1;1;1;70;13;1;473.7753827;13;1;;;;;;;;;1;480;1;3;1;9;2;2;;2;;.;2341;85;8530;
20240101;01;2024;7656100;1;4;1;70;13;1;426.00701346;13;1;;;;;;;;;1;360;0;9;4;1;2;2;;2;;.;5120;56;5619;
20240101;01;2024;7656101;1;3;1;70;13;1;461.98743215;13;;1;1;10;1;;;40;1500000;2;;;;;;;2;;2;;7543;;;;
20240101;01;2024;7656101;1;4;1;70;13;1;461.98743215;13;1;;;;;1;;40;1500000;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656102;1;2;1;70;13;1;581.77565348;13;;1;1;5;1;;;40;2000000;1;6;5;7;2;8;2;2;;2;;2269;2269;84;8430;
20240101;01;2024;7656103;1;1;1;70;13;1;425.67972659;13;1;;;;;;;;;1;110;3;5;1;4;2;3;;2;;.;1420;47;4772;
20240101;01;2024;7656104;1;1;1;70;13;1;558.32996703;13;1;;;;;;;;;1;240;1;5;2;10;2;3;;2;;.;2330;85;8530;
20240101;01;2024;7656107;1;2;1;70;13;1;287.27478285;13;;2;1;48;1;;;48;1160000;1;12;0;8;1;10;2;2;;2;;9321;9321;47;4719;
20240101;01;2024;7656107;1;3;1;70;13;1;287.27478285;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656109;1;1;1;70;13;1;451.44784014;13;1;;;;;;;;;1;72;0;8;4;1;2;2;;2;;.;5223;45;4530;
20240101;01;2024;7656109;1;2;1;70;13;1;451.44784014;13;1;;;;;;;;;1;60;0;3;4;3;2;2;;2;;.;5223;45;4530;
20240101;01;2024;7656110;1;1;1;70;13;1;449.09437052;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656111;1;2;1;70;13;1;289.92096036;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656111;1;4;1;70;13;1;289.92096036;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656111;1;5;1;70;13;1;289.92096036;13;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656112;1;1;1;70;13;1;390.68730895;13;;2;1;24;1;;;48;2500000;1;6;2;8;1;9;2;2;;2;;4225;4225;52;5223;
20240101;01;2024;7656113;1;1;1;70;13;1;388.44695858;13;1;;;;;;;;;1;36;1;7;4;1;2;2;;2;;.;5223;47;4711;
20240101;01;2024;7656113;1;2;1;70;13;1;388.44695858;13;1;;;;;;;;;1;240;1;5;2;8;2;3;;2;;.;4110;84;8412;
20240101;01;2024;7656114;1;1;1;70;15;1;126.54900359;15;1;;;;;;;;;1;468;0;5;2;10;2;3;;2;;.;2341;85;8530;
20240101;01;2024;7656116;1;3;1;70;15;1;124.7685429;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656118;1;1;1;70;15;1;149.76864806;15;1;;;;;;;;;1;120;0;4;4;4;2;2;;2;;.;6111;01;0113;
20240101;01;2024;7656118;1;2;1;70;15;1;149.76864806;15;1;;;;;;;;;1;120;0;4;4;4;2;2;;2;;.;6111;01;0113;
20240101;01;2024;7656120;1;1;1;70;15;1;111.73677174;15;1;;;;;2;1;;1160000;1;1;0;4;3;1;2;2;;1;800000;.;9111;97;9700;
20240101;01;2024;7656121;1;2;1;70;15;1;156.6361618;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656121;1;3;1;70;15;1;156.6361618;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656126;1;1;1;70;15;1;86.228908765;15;1;;;;;;;;;1;168;0;5;2;10;2;3;;2;;.;9112;84;8413;
20240101;01;2024;7656126;1;2;1;70;15;1;86.228908765;15;;1;1;4;1;;;48;1300000;1;0;1;8;4;10;2;2;;1;1600000;4132;4227;84;8412;
20240101;01;2024;7656127;1;1;1;70;15;1;77.724049463;15;1;;;;;;;;;1;12;5;2;4;1;2;2;;2;;.;7131;43;4330;
20240101;01;2024;7656127;1;2;1;70;15;1;77.724049463;15;1;;;;;2;4;;1160000;1;12;5;2;1;9;2;2;;2;;.;3343;85;8559;
20240101;01;2024;7656128;1;1;1;70;15;1;75.013274443;15;;2;1;16;1;;;47;25000000;1;24;3;8;1;4;2;2;;2;;2132;5164;75;7500;
20240101;01;2024;7656129;1;1;1;70;15;1;107.76106162;15;1;;;;;2;3;;2500000;1;0;2;8;2;10;2;1;2;1;2500000;.;2310;85;8544;
20240101;01;2024;7656129;1;2;1;70;15;1;107.76106162;15;1;;;;;2;2;;3600000;1;0;3;8;4;10;2;1;2;1;3600000;.;2320;85;8551;
20240101;01;2024;7656129;1;3;1;70;15;1;107.76106162;15;;2;1;52;1;;;48;2000000;1;8;0;6;1;3;2;2;;2;;2131;9622;42;4290;
20240101;01;2024;7656131;1;1;1;70;15;1;86.28341154;15;1;;;;;;;;;1;360;0;3;4;1;2;2;;2;;.;5223;47;4771;
20240101;01;2024;7656132;1;1;1;70;15;1;72.615102089;15;1;;;;;;;;;1;240;0;5;2;10;2;3;;2;;.;5412;84;8423;
20240101;01;2024;7656132;1;2;1;70;15;1;72.615102089;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656133;1;2;1;70;15;1;100.93816439;15;;1;1;2;1;;;47;1160000;1;60;5;4;1;3;2;2;;2;;5223;5141;96;9602;
20240101;01;2024;7656134;1;2;1;70;15;1;88.867869338;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656136;1;3;1;70;15;1;85.069461069;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656137;1;2;1;70;15;1;76.057095098;15;1;;;;;;;;;1;7;1;3;1;9;2;2;;2;;.;5223;47;4772;
20240101;01;2024;7656138;1;1;1;70;15;1;176.18030858;15;;1;1;3;1;;;48;1300000;1;0;3;8;1;9;2;1;1;1;1160000;4311;4110;86;8622;
20240101;01;2024;7656140;1;3;1;70;15;1;106.11318074;15;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656143;1;1;1;70;18;1;112.59426148;18;;1;1;8;4;;;47;1300000;1;2;0;3;1;2;2;2;;2;;9111;5223;47;4773;
20240101;01;2024;7656143;1;2;1;70;18;1;112.59426148;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656144;1;1;1;70;18;1;118.19329692;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656145;1;2;1;70;18;1;62.739598952;18;1;;;;;;;;;1;18;0;3;1;5;2;2;;2;;.;5223;47;4772;
20240101;01;2024;7656145;1;4;1;70;18;1;62.739598952;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656146;1;1;1;70;18;1;100.59603875;18;1;;;;;;;;;1;12;1;4;3;1;2;2;;2;;.;9111;97;9700;
20240101;01;2024;7656147;1;1;1;70;18;1;74.730303308;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656147;1;2;1;70;18;1;74.730303308;18;1;;;;;;;;;1;98;1;5;2;10;2;3;;2;;.;9112;84;8422;
20240101;01;2024;7656147;1;3;1;70;18;1;74.730303308;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656148;1;2;1;70;18;1;112.23024482;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656150;1;2;1;70;18;1;88.665303539;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656151;1;1;1;70;18;1;52.207526782;18;;1;1;12;1;;;48;1200000;1;0;1;8;1;3;2;2;;1;1000000;4120;5223;47;4771;
20240101;01;2024;7656152;1;3;1;70;18;1;100.14086753;18;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656153;1;1;1;70;18;1;52.551703173;18;1;;;;;;;;;1;72;0;8;1;3;2;2;;2;;.;2342;85;8530;
20240101;01;2024;7656159;1;1;1;70;19;1;141.41767328;19;;2;1;24;2;;;48;3000000;1;24;0;8;1;6;2;1;2;2;;2132;3142;94;9499;
20240101;01;2024;7656159;1;2;1;70;19;1;141.41767328;19;1;;;;;;;;;1;180;0;7;2;10;2;1;2;2;;.;5321;84;8413;
20240101;01;2024;7656161;1;3;1;70;19;1;109.11362869;19;1;;;;;;;;;1;2;0;8;1;10;2;2;;2;;.;4120;65;6523;
20240101;01;2024;7656161;1;4;1;70;19;1;109.11362869;19;1;;;;;;;;;1;360;0;4;4;1;2;2;;2;;.;5212;47;4781;
20240101;01;2024;7656162;1;2;1;70;19;1;272.73794503;19;1;;;;;;;;;1;96;0;2;4;1;2;2;;2;;.;8324;49;4921;
20240101;01;2024;7656162;1;3;1;70;19;1;272.73794503;19;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656164;1;1;1;70;19;1;146.92953268;19;1;;;;;;;;;1;120;0;5;2;10;2;3;;2;;.;5412;84;8423;
20240101;01;2024;7656164;1;2;1;70;19;1;146.92953268;19;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656164;1;3;1;70;19;1;146.92953268;19;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656165;1;1;1;70;19;1;155.5594406;19;;1;1;1;1;;;40;1100000;1;0;1;8;4;10;2;2;;1;1100000;5412;5412;84;8412;
20240101;01;2024;7656165;1;2;1;70;19;1;155.5594406;19;;2;1;48;1;;;48;1100000;1;60;0;7;1;10;2;2;;2;;5243;5243;46;4649;
20240101;01;2024;7656166;1;1;1;70;19;1;156.61338595;19;1;;;;;;;;;1;480;0;3;1;8;2;2;;2;;.;8189;13;1399;
20240101;01;2024;7656168;1;1;1;70;19;1;264.28508878;19;1;;;;;;;;;1;48;1;7;4;1;2;2;;2;;.;9111;81;8121;
20240101;01;2024;7656169;1;1;1;70;19;1;249.87218203;19;1;;;;;;;;;1;24;0;4;4;1;2;2;;2;;.;3322;47;4792;
20240101;01;2024;7656171;1;2;1;70;19;1;218.22355727;19;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656172;1;2;1;70;19;1;177.41498485;19;1;;;;;;;;;1;180;0;9;4;1;2;2;;2;;.;1420;47;4719;
20240101;01;2024;7656173;1;1;1;70;19;1;211.42807103;19;1;;;;;;;;;1;260;0;5;2;10;2;3;;2;;.;2310;85;8544;
20240101;01;2024;7656175;1;1;1;70;19;1;155.5594406;19;1;;;;;;;;;1;120;0;5;2;10;2;3;;2;;.;5412;84;8423;
20240101;01;2024;7656175;1;2;1;70;19;1;155.5594406;19;1;;;;;;;;;2;;;;;;;2;;2;;.;.;;.;
20240101;01;2024;7656177;1;1;1;70;19;1;117.75584633;19;1;;;;;;;;;1;180;0;5;2;10;2;3;;2;;.;4311;86;8610;
20240101;01;2024;7656178;1;1;1;70;19;1;178.77060932;19;1;;;;;;;;;1;150;0;5;1;9;2;3;;2;;.;4321;35;3514;
